catalog_level1_num,catalog_level1_name,catalog_level1_desc
" Products of animal origin, nes",05," Products of animal origin, nes or  included."
" Live trees, plants, bulbs, roots, cut flowers etc",06," Live tree & other plant; bulb, root; cut  flowers etc"
 Edible vegetables and certain roots and tubers,07, Edible vegetables and certain roots and  tubers.
" Edible fruit, nuts, peel of citrus fruit, melons",08, Edible fruit and nuts; peel of citrus  fruit or melons.
" Coffee, tea, mate and spices",09," Coffee, tea, matF and spices."
 Cereals,10, Cereals
" Milling products, malt, starches, inulin, wheat glute",11, Prod.mill.indust; malt; starches;  inulin; wheat gluten
" Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",12," Oil seed, oleagi fruits; miscell grain,  seed, fruit etc"
" Lac, gums, resins, vegetable saps and extracts nes",13," Lac; gums, resins & other vegetable saps  & extracts."
" Vegetable plaiting materials, vegetable products nes",14, Vegetable plaiting materials; vegetable  products nes
" Animal,vegetable fats and oils, cleavage products, et",15, Animal/veg fats & oils & their cleavage  products; etc
" Meat, fish and seafood food preparations nes",16," Prep of meat, fish or crustaceans,  molluscs etc"
 Sugars and sugar confectionery,17, Sugars and sugar confectionery.
 Cocoa and cocoa preparations,18, Cocoa and cocoa preparations.
" Vegetable, fruit, nut, etc food preparations",20," Prep of vegetable, fruit, nuts or other  parts of plants"
 Miscellaneous edible preparations,21, Miscellaneous edible preparations.
" Beverages, spirits and vinegar",22," Beverages, spirits and vinegar."
" Residues, wastes of food industry, animal fodder",23, Residues & waste from the food indust;  prepr ani fodder
 Tobacco and manufactured tobacco substitutes,24, Tobacco and manufactured tobacco substitutes
" Salt, sulphur, earth, stone, plaster, lime and cement",25, Salt; sulphur; earth & ston; plastering  mat; lime & cem
" Ores, slag and ash",26," Ores, slag and ash."
" Mineral fuels, oils, distillation products, etc",27," Mineral fuels, oils & product of their  distillation;etc"
" Inorganic chemicals, precious metal compound, isotope",28," Inorgn chem; compds of prec mtl,  radioact elements etc"
 Organic chemicals,29, Organic chemicals.
 Pharmaceutical products,30, Pharmaceutical products.
 Fertilizers,31, Fertilisers.
" Tanning, dyeing extracts, tannins, derivs,pigments et",32, Tanning/dyeing extract; tannins &  derivs; pigm etc
" Essential oils, perfumes, cosmetics, toileteries",33," Essential oils & resinoids; perf,  cosmetic/toilet prep"
" Soaps, lubricants, waxes, candles, modelling pastes",34," Soap, organic surface-active agents,  washing prep, etc"
" Albuminoids, modified starches, glues, enzymes",35, Albuminoidal subs; modified starches;  glues; enzymes.
" Explosives, pyrotechnics, matches, pyrophorics, etc",36, Explosives; pyrotechnic prod; matches;  pyrop alloy; etc
 Photographic or cinematographic goods,37, Photographic or cinematographic goods.
 Miscellaneous chemical products,38, Miscellaneous chemical products.
 Plastics and articles thereof,39, Plastics and articles thereof.
 Rubber and articles thereof,40, Rubber and articles thereof.
 Raw hides and skins (other than furskins) and leather,41, Raw hides and skins (other than  furskins) and leather.
" Articles of leather, animal gut, harness, travel good",42, Articles of leather; saddlery/harness;  travel goods etc
" Furskins and artificial fur, manufactures thereof",43, Furskins and artificial fur;  manufactures thereof.
" Wood and articles of wood, wood charcoal",44, Wood and articles of wood; wood  charcoal.
 Cork and articles of cork,45, Cork and articles of cork.
" Manufactures of plaiting material, basketwork, etc.",46," Manufactures of straw, esparto/other  plaiting mat; etc"
" Pulp of wood, fibrous cellulosic material, waste etc",47, Pulp of wood/of other fibrous cellulosic  mat; waste etc
" Paper & paperboard, articles of pulp, paper and board",48," Paper & paperboard; art of paper pulp,  paper/paperboard"
" Printed books, newspapers, pictures etc",49," Printed books, newspapers, pictures &  other product etc"
 Silk,50, Silk.
" Wool, animal hair, horsehair yarn and fabric thereof",51," Wool, fine/coarse animal hair, horsehair  yarn & fabric"
 Cotton,52, Cotton.
" Vegetable textile fibres nes, paper yarn, woven fabri",53, Other vegetable textile fibres; paper  yarn & woven fab
 manmade filaments,54, Man-made filaments.
 manmade staple fibres,55, Man-made staple fibres.
" Wadding, felt, nonwovens, yarns, twine, cordage, etc",56," Wadding, felt & nonwoven; yarns; twine,  cordage, etc"
 Carpets and other textile floor coverings,57, Carpets and other textile floor  coverings.
" Special woven or tufted fabric, lace, tapestry etc",58, Special woven fab; tufted tex fab; lace;  tapestries etc
" Impregnated, coated or laminated textile fabric",59," Impregnated, coated, cover/laminated  textile fabric etc"
 Knitted or crocheted fabric,60, Knitted or crocheted fabrics.
" Articles of apparel, accessories, knit or crochet",61," Art of apparel & clothing access,  knitted or crocheted."
" Articles of apparel, accessories, not knit or crochet",62," Art of apparel & clothing access, not  knitted/crocheted"
" Other made textile articles, sets, worn clothing etc",63, Other made up textile articles; sets;  worn clothing etc
" Footwear, gaiters and the like, parts thereof",64," Footwear, gaiters and the like; parts of  such articles."
 Headgear and parts thereof,65, Headgear and parts thereof.
" Umbrellas, walking-sticks, seat-sticks, whips, etc",66," Umbrellas, walking-sticks, seat-sticks,  whips, etc"
" Bird skin, feathers, artificial flowers, human hair",67, Prepr feathers & down; arti flower;  articles human hair
" Stone, plaster, cement, asbestos, mica, etc articles",68," Art of stone, plaster, cement, asbestos,  mica/sim mat"
 Ceramic products,69, Ceramic products.
 Glass and glassware,70, Glass and glassware.
" Pearls, precious stones, metals, coins, etc",71," Natural/cultured pearls, prec stones &  metals, coin etc"
 Iron and steel,72, Iron and steel.
 Articles of iron or steel,73, Articles of iron or steel.
 Copper and articles thereof,74, Copper and articles thereof.
 Nickel and articles thereof,75, Nickel and articles thereof.
 Aluminium and articles thereof,76, Aluminium and articles thereof.
 Lead and articles thereof,78, Lead and articles thereof.
 Zinc and articles thereof,79, Zinc and articles thereof.
 Tin and articles thereof,80, Tin and articles thereof.
" Other base metals, cermets, articles thereof",81, Other base metals; cermets; articles  thereof.
" Tools, implements, cutlery, etc of base metal",82," Tool, implement, cutlery, spoon & fork,  of base mtl etc"
 Miscellaneous articles of base metal,83, Miscellaneous articles of base metal.
" Nuclear reactors, boilers, machinery, etc",84," Nuclear reactors, boilers, mchy & mech  appliance; parts"
" Electrical, electronic equipment",85, Electrical mchy equip parts thereof;  sound recorder etc
" Railway, tramway locomotives, rolling stock, equipmen",86," Railw/tramw locom, rolling-stock & parts  thereof; etc"
" Vehicles other than railway, tramway",87," Vehicles o/t railw/tramw roll-stock, pts  & accessories"
" Aircraft, spacecraft, and parts thereof",88," Aircraft, spacecraft, and parts thereof."
" Ships, boats and other floating structures",89," Ships, boats and floating structures."
" Optical, photo, technical, medical, etc apparatus",90," Optical, photo, cine, meas, checking,  precision, etc"
 Clocks and watches and parts thereof,91, Clocks and watches and parts thereof.
" Musical instruments, parts and accessories",92, Musical instruments; parts and access of  such articles
" Arms and ammunition, parts and accessories thereof",93, Arms and ammunition; parts and  accessories thereof.
" Furniture, lighting, signs, prefabricated buildings",94," Furniture; bedding, mattress, matt  support, cushion etc"
" Toys, games, sports requisites",95," Toys, games & sports requisites; parts &  access thereof"
 Miscellaneous manufactured articles,96, Miscellaneous manufactured articles.
 Commodities not specified according to kind,99, Commodities not specified according to kind
