title,rate,author
作者:熊顿,9.2,滚蛋吧!肿瘤君
作者:[清]曹雪芹著/高鹗续,9.5,红楼梦
作者:吴淼,9.4,塔希里亚故事集
作者:[哥伦比亚]加西亚·马尔克斯,9.2,百年孤独
作者:[美]ThomasH.Cormen/CharlesE.Leiserson/RonaldL.Rivest/CliffordStein,9.4,算法导论（原书第2版）
作者:[美]侯世达,9.4,哥德尔、艾舍尔、巴赫
作者:木心口述/陈丹青笔录,9.2,文学回忆录（全2册）
作者:司马迁,9.5,史记（全十册）
作者:老子,9.4,道德经
作者:刘慈欣,9.2,三体Ⅲ
作者:柴静,8.8,看见
作者:[美]乔治.R.R.马丁,9.4,冰与火之歌（卷二）
作者:鲁迅,9.4,鲁迅全集（2005最新修订版）
作者:吴淼,9.4,塔希里亚故事集Ⅱ
作者:吴军,9.1,浪潮之巅
作者:孔丘编订,9.4,诗经
作者:[美]艾萨克·阿西莫夫,9.3,第二基地
作者:林崇德主编,9.4,中国少年儿童百科全书（全四册）
作者:[美]徐中約,9.4,中國近代史（上冊）
出版社:广西民族出版社,9.3,唐诗三百首
作者:[宋]司馬光編著/[元]胡三省音注,9.3,資治通鑑（全二十冊）
作者:〔法〕大仲马著,9.3,基督山伯爵(上下)
作者:安房直子,9.3,风与树的歌
作者:高尔泰,9.2,寻找家园
作者:（美）乔治·R·R·马丁,9.2,冰与火之歌·卷四·群鸦的盛宴（全两册）
作者:玛赞·莎塔碧,9.3,我在伊朗长大
作者:中国社会科学院语言研究所词典编辑室编,9.3,现代汉语词典（修订本）
作者:孙通海译注,9.4,庄子
作者:[俄]陀思妥耶夫斯基,9.3,卡拉马佐夫兄弟
作者:（美）BrianW.Kernighan/（美）DennisM.Ritchie,9.4,C程序设计语言
作者:[意大利]卡尔维诺,9.3,卡尔维诺文集（第三卷）
作者:[美]安·兰德,9.1,源泉
作者:[美]乔治·R.R.马丁,9.3,冰与火之歌（卷一）
作者:兰晓龙,9.4,我的团长我的团（下部）
作者:蘅塘退士/陈婉俊,9.3,唐诗三百首
作者:张纯如,9.2,南京浩劫
作者:王小波,9.3,王小波全集
作者:[英]山姆·麦克布雷尼文/安妮塔·婕朗图,9.3,猜猜我有多爱你
作者:[美]艾萨克·阿西莫夫,9.2,基地
作者:[日]田中芳树,9.2,银河英雄传说
作者:[日]莫莉蓟野,9.1,猫城小事
作者:[伊朗]玛赞·莎塔碧,9.2,我在伊朗长大1
作者:錢穆,9.3,國史大綱（上下）
作者:费孝通,9.2,乡土中国生育制度
作者:鲁兵主编/朱延龄插图,9.2,365夜故事（上下）
作者:[美]艾萨克·阿西莫夫,9.2,基地与帝国
作者:顾准,9.1,顾准文集
作者:[美]米切尔,9.2,飘（全二册）
作者:[英]乔治·奥威尔,9.2,一九八四·动物农场
作者:（清）纳兰性德/赵秀亭（笺校）/冯统一（笺校）,9.2,飲水詞箋校
作者:[美]欧文·斯通,9.2,渴望生活
作者:（英）帕·林·特拉芙斯,9.2,随风而来的玛丽阿姨
作者:[哥伦比亚]加西亚·马尔克斯,8.9,霍乱时期的爱情
作者:[英]毛姆,9.1,月亮和六便士
作者:[美]G.伽莫夫,9.1,从一到无穷大
作者:(法)托克维尔,9.2,论美国的民主
作者:[法]托克维尔,8.9,旧制度与大革命
作者:LeftenStavrosStavrianos,9.2,全球通史(上)
"作者:（美）斯塔夫里阿诺斯（Stavrianos,L.S.）",9.2,全球通史(下)
作者:曹天元,9.2,上帝掷骰子吗
作者:[奥]莱内·马利亚·里尔克,9.1,给青年诗人的信
作者:[英]王尔德,9.1,快乐王子
作者:[美]史蒂夫·迈克康奈尔,9.3,代码大全（第2版）
作者:StanleyB.Lippman/JoséeLaJoie/BarbaraE.Moo,9.2,C++Primer中文版（第4版）
作者:刘慈欣,9.2,三体Ⅱ
作者:[丹麦]金·弗珀兹·艾克松/文/[瑞典]爱娃·艾瑞克松/图,9.3,爷爷变成了幽灵
作者:[美]斯蒂芬·金,9.1,肖申克的救赎
作者:（丹麦）安徒生,9.1,安徒生童话故事集
作者:路遥,9.2,平凡的世界（全三册）
作者:三毛,9.2,撒哈拉的故事
作者:[美国]玛格丽特·米切尔,9.3,飘
作者:[明]罗贯中,9.2,三国演义（全二册）
作者:[英]王尔德,9.1,王尔德童话
作者:卡里·纪伯伦,9.0,先知
作者:[法]阿尔贝·加缪,9.1,加缪文集
作者:[英]瑞·蒙克,9.1,维特根斯坦传
作者:中国社会科学院语言研究所编,9.2,新华字典（1998年修订本）
作者:兰晓龙,9.2,我的团长我的团（上部）
作者:ElliotAronson,9.1,社会性动物
